,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Sioux Lookout,50.1001,-91.917,9.04,93,0,2.06,CA,1662874630
272,Kičevo,41.5144,20.9633,19.67,59,46,0.84,MK,1662874631
273,Vestmanna,62.1564,-7.1664,11.51,94,100,6.17,FO,1662874631
274,Krasnosel'kup,65.7,82.4667,8.39,48,67,3.61,RU,1662874631
275,Clyde River,70.4692,-68.5914,3.13,100,100,0.0,CA,1662874632
276,Poso,-1.3959,120.7524,27.73,81,99,2.03,ID,1662874632
277,Tibú,8.639,-72.7358,22.84,99,91,1.09,CO,1662874633
278,Severodvinsk,64.5635,39.8302,9.06,82,90,3.44,RU,1662874633
279,Goderich,43.7501,-81.7165,21.62,78,100,3.6,CA,1662874634
280,Sechura,-5.5569,-80.8222,16.38,85,31,4.03,PE,1662874635
281,Kushiro,42.975,144.3747,20.53,77,20,4.12,JP,1662874419
282,College,64.8569,-147.8028,8.97,84,75,0.0,US,1662874636
283,Hervey Bay,-25.2986,152.8535,21.03,53,22,3.53,AU,1662874636
284,Syracuse,37.0881,15.2792,20.77,69,0,2.27,IT,1662874637
285,Inta,66.0317,60.1659,6.88,88,100,8.01,RU,1662874637
286,Pasni,25.2631,63.471,29.82,64,34,5.68,PK,1662874638
287,Pedernales,18.0384,-71.744,28.09,70,57,1.74,DO,1662874638
288,Scarborough,54.2797,-0.4044,14.32,92,56,1.33,GB,1662874639
289,Ust-Tsilma,65.441,52.1498,8.88,89,100,2.73,RU,1662874639
290,Urengoy,65.9667,78.3667,6.65,62,93,1.73,RU,1662874640
291,La Colmena,-25.8833,-56.8167,8.66,65,28,1.57,PY,1662874640
292,Kloulklubed,7.0419,134.2556,28.28,66,81,2.19,PW,1662874641
293,Saint George,37.1041,-113.5841,24.24,59,0,1.54,US,1662874359
294,Nānākuli,21.3906,-158.1547,26.97,69,100,2.06,US,1662874642
295,Jesup,31.6074,-81.8854,23.86,94,100,0.0,US,1662874643
296,Fairbanks,64.8378,-147.7164,8.98,85,0,0.0,US,1662874643
297,Cabedelo,-6.9811,-34.8339,22.37,86,23,4.55,BR,1662874644
298,Inhambane,-23.865,35.3833,23.03,67,0,4.61,MZ,1662874644
299,Port Blair,11.6667,92.75,28.95,72,59,6.88,IN,1662874645
300,Mercedes,-34.6515,-59.4307,6.69,53,0,3.45,AR,1662874646
301,Meulaboh,4.1363,96.1285,29.47,62,72,2.79,ID,1662874646
302,Marystown,47.1666,-55.1483,14.09,83,100,15.57,CA,1662874647
303,Auki,-8.7676,160.7034,27.02,78,38,0.54,SB,1662874648
304,Ulaanbaatar,47.9077,106.8832,20.07,42,20,4.0,MN,1662874439
305,Rondonópolis,-16.4708,-54.6356,25.04,41,48,1.32,BR,1662874649
306,Abu Samrah,35.3029,37.1841,26.86,25,0,2.87,SY,1662874649
307,De Panne,51.0792,2.5917,14.47,95,13,1.03,BE,1662874650
308,Gizo Government Station,-8.103,156.8419,29.03,65,64,2.17,SB,1662874651
309,Marzuq,14.4,46.4667,29.96,30,94,0.43,YE,1662874651
310,Maryville,35.7565,-83.9705,21.15,95,100,0.0,US,1662874642
311,Emba,48.8264,58.1442,12.39,58,99,6.45,KZ,1662874652
312,Geraldton,-28.7667,114.6,23.23,46,75,3.6,AU,1662874653
313,Ouégoa,-20.35,164.4333,25.55,77,16,2.06,NC,1662874653
314,Vardø,70.3705,31.1107,6.99,93,100,1.54,NO,1662874654
315,Korla,41.7597,86.1469,32.85,13,4,4.78,CN,1662874654
316,San Joaquin,37.9333,-121.3011,25.13,56,0,3.6,US,1662874655
317,Key West,24.5557,-81.7826,28.0,94,40,17.49,US,1662874655
318,Marsh Harbour,26.5412,-77.0636,29.06,73,7,3.42,BS,1662874656
319,Kununurra,-15.7667,128.7333,35.99,28,35,2.57,AU,1662874423
320,Mayo,38.8876,-76.5119,23.97,89,100,4.12,US,1662874658
321,Fortuna,40.5982,-124.1573,17.03,88,90,1.35,US,1662874658
322,Saint-Ambroise,48.5501,-71.3324,17.78,94,0,1.54,CA,1662874659
323,Kenai,60.5544,-151.2583,10.08,90,100,2.57,US,1662874659
324,Sinnamary,5.3833,-52.95,25.35,84,96,3.04,GF,1662874660
325,Laguna,38.421,-121.4238,24.69,59,0,4.12,US,1662874661
326,Camaçari,-12.6975,-38.3242,20.87,94,8,1.05,BR,1662874661
327,Aktau,43.65,51.2,15.32,42,10,4.84,KZ,1662874662
328,Xining,36.6167,101.7667,21.1,37,0,1.51,CN,1662874503
329,Makubetsu,45.3714,141.8211,22.84,60,20,5.14,JP,1662874663
330,Tonj,7.2737,28.6822,23.22,93,92,2.29,SS,1662874663
331,Mahibadhoo,3.7833,72.9667,27.32,79,63,5.74,MV,1662874664
332,Pacific Grove,36.6177,-121.9166,22.12,80,0,2.57,US,1662874665
333,Bathsheba,13.2167,-59.5167,28.34,83,40,4.63,BB,1662874665
334,Moose Factory,51.2585,-80.6094,14.0,94,100,3.09,CA,1662874666
335,Coffs Harbour,-30.3,153.1333,21.74,46,53,4.12,AU,1662874666
336,Berlevåg,70.8578,29.0864,7.0,87,100,3.6,NO,1662874667
337,Hersbruck,49.5125,11.4339,13.75,90,100,3.41,DE,1662874668
338,Sayyan,15.1718,44.3244,20.79,28,59,6.42,YE,1662874669
339,Trojes,41.756,19.962,19.27,69,71,1.63,AL,1662874669
340,Zelenoborskiy,66.845,32.3622,9.96,84,96,0.46,RU,1662874669
341,Katobu,-4.9408,122.5276,32.23,43,47,2.52,ID,1662874670
342,Beloha,-25.1667,45.05,25.53,41,0,1.92,MG,1662874670
343,Paamiut,61.994,-49.6678,6.22,86,100,6.55,GL,1662874671
344,Bengkulu,-3.8004,102.2655,28.26,69,94,2.99,ID,1662874671
345,Poum,-20.2333,164.0167,25.1,80,1,4.46,NC,1662874672
346,Voyvozh,62.892,54.9635,6.23,95,98,1.69,RU,1662874673
347,Mosquera,4.7059,-74.2302,11.05,76,40,2.57,CO,1662874673
348,Kota Belud,6.351,116.4305,28.38,81,99,2.28,MY,1662874673
349,Taldan,53.6667,124.8,13.12,54,99,0.37,RU,1662874674
350,Nālūt,30.3333,10.85,25.6,27,0,3.3,LY,1662874675
351,Thoen,17.6129,99.2161,25.12,96,100,0.07,TH,1662874676
352,Yangambi,0.8102,24.4336,22.05,95,48,0.45,CD,1662874677
353,Estrela,-28.0611,-50.9383,3.56,86,0,1.56,BR,1662874677
354,Linxia Chengguanzhen,35.6003,103.2064,23.33,32,16,1.28,CN,1662874677
355,Grand Gaube,-20.0064,57.6608,24.22,61,5,5.36,MU,1662874678
356,Gao,16.6362,1.637,28.79,55,76,3.95,ML,1662874679
357,Torit,4.4133,32.5678,24.03,79,93,0.82,SS,1662874679
358,Comalcalco,18.2667,-93.2167,25.68,88,99,0.65,MX,1662874680
359,Myanaung,18.2833,95.3167,26.29,85,100,3.24,MM,1662874680
360,Vanimo,-2.6741,141.3028,27.11,82,99,1.72,PG,1662874681
361,Nishihara,26.1842,127.7558,30.6,77,75,8.75,JP,1662874681
362,Dwārka,22.2394,68.9678,30.09,75,79,3.14,IN,1662874682
363,Río Gallegos,-51.6226,-69.2181,3.03,81,0,1.54,AR,1662874682
364,Port Hardy,50.6996,-127.4199,10.1,100,40,1.03,CA,1662874683
365,Ochakiv,46.6128,31.5498,16.9,87,100,4.41,UA,1662874683
366,Kaitangata,-46.2817,169.8464,10.75,78,4,6.35,NZ,1662874684
367,La Rioja,42.25,-2.5,10.88,57,0,2.74,ES,1662874684
368,Los Llanos de Aridane,28.6585,-17.9182,20.86,77,40,3.6,ES,1662874487
369,Shimokizukuri,40.8061,140.3861,27.19,67,76,3.86,JP,1662874685
370,Bukachacha,52.9833,116.9167,12.78,50,100,1.97,RU,1662874686
371,Bānsgāon,26.5586,83.3481,33.1,57,14,7.07,IN,1662874552
372,Lake Havasu City,34.4839,-114.3224,32.0,46,0,2.57,US,1662874687
373,Lockhart,28.6194,-81.4426,25.05,96,0,0.0,US,1662874687
374,Shingū,33.7333,135.9833,27.78,64,14,3.36,JP,1662874642
375,Erciş,39.0287,43.3586,21.05,23,0,1.13,TR,1662874688
376,Maurānwān,26.4333,80.8833,32.02,57,6,6.26,IN,1662874688
377,Broadstairs,51.3591,1.4394,14.33,79,8,1.98,GB,1662874689
378,Chokurdakh,70.6333,147.9167,5.89,72,100,3.91,RU,1662874690
379,Boyolangu,-8.1181,111.8935,25.52,86,93,4.1,ID,1662874690
380,Poronaysk,49.2167,143.1167,21.23,68,2,2.08,RU,1662874691
381,Ürümqi,43.801,87.6005,27.53,28,0,4.0,CN,1662874691
382,Makakilo City,21.3469,-158.0858,26.18,71,100,2.57,US,1662874692
383,Gariāband,20.635,82.0614,24.26,93,100,1.47,IN,1662874692
384,Egvekinot,66.3167,-179.1667,4.43,75,74,1.87,RU,1662874693
385,Riviere-au-Renard,48.9957,-64.3971,11.16,87,0,2.07,CA,1662874694
386,Necochea,-38.5473,-58.7368,5.71,63,0,4.28,AR,1662874694
387,Ixtapa,20.7,-105.2,26.79,100,100,0.0,MX,1662874695
388,Povenets,62.8487,34.8262,10.77,66,83,2.54,RU,1662874695
389,Olafsvik,64.8945,-23.7142,8.5,84,3,7.21,IS,1662874696
390,Kwang Binh,17.4833,106.6,29.79,67,37,2.9,VN,1662874696
391,San Felipe,10.3399,-68.7425,21.85,96,98,1.33,VE,1662874697
392,Sona,45.4388,10.8255,17.75,88,40,2.57,IT,1662874697
393,Taos,36.4072,-105.5731,16.26,66,100,5.14,US,1662874698
394,Tambovka,50.0969,128.0489,23.2,61,94,2.08,RU,1662874698
395,Begoro,6.3871,-0.3774,19.63,96,97,1.11,GH,1662874699
396,Pinotepa Nacional,16.3167,-98.0167,23.18,96,99,1.49,MX,1662874699
397,Surgut,61.25,73.4167,8.94,66,40,3.13,RU,1662874700
398,Biltine,14.5333,20.9167,26.1,75,62,2.06,TD,1662874700
399,Buin,-33.7333,-70.75,12.08,94,2,0.82,CL,1662874700
400,Shimoda,34.6667,138.95,26.72,66,15,7.69,JP,1662874637
401,Vieques,18.425,-65.8329,27.01,89,20,0.0,PR,1662874701
402,Careiro da Várzea,-3.2003,-59.8119,25.35,59,23,2.16,BR,1662874702
403,Waipawa,-41.4122,175.5153,10.51,95,100,1.56,NZ,1662874703
404,Mayumba,-3.432,10.6554,23.24,88,89,2.85,GA,1662874704
405,Klyuchi,52.2667,79.1667,20.27,22,100,6.86,RU,1662874704
406,Alexandria,31.2156,29.9553,27.39,56,0,3.65,EG,1662874705
407,Coahuayana Viejo,18.7333,-103.6833,25.41,94,100,1.54,MX,1662874706
408,Caloundra,-26.8,153.1333,24.51,54,9,1.34,AU,1662874706
409,Viedma,-40.8135,-62.9967,8.46,36,0,4.43,AR,1662874707
410,Preeceville,51.95,-102.6677,10.06,37,15,4.02,CA,1662874708
411,Labuhan,-6.8844,112.2051,30.83,57,100,4.16,ID,1662874708
412,Cumberland,35.0502,-78.8664,24.71,98,100,1.54,US,1662874709
413,Gayéri,12.6497,0.4931,22.45,95,99,2.98,BF,1662874710
414,Ulsteinvik,62.3432,5.8487,11.06,93,80,1.34,NO,1662874710
415,Okha,53.5739,142.9478,12.93,70,89,4.13,RU,1662874711
416,Shache,38.4167,77.2406,31.94,9,100,4.11,CN,1662874711
417,Chimbote,-9.0853,-78.5783,15.63,87,33,5.12,PE,1662874712
418,Córdoba,-31.4135,-64.1811,11.9,39,0,1.54,AR,1662874712
419,Rocha,-34.4833,-54.3333,3.51,89,0,1.41,UY,1662874713
420,Saint-Augustin,51.226,-58.6502,10.59,93,0,2.37,CA,1662874713
421,Mandera,3.9366,41.867,27.28,55,58,7.01,KE,1662874714
422,Kapuskasing,49.4169,-82.4331,12.05,94,100,1.54,CA,1662874714
423,Taltal,-25.4,-70.4833,11.92,81,46,0.77,CL,1662874715
424,Novaya Igirma,57.1334,103.9112,15.07,50,100,2.9,RU,1662874715
425,Klaksvík,62.2266,-6.589,12.51,94,88,9.55,FO,1662874716
426,Bahía Honda,22.9036,-83.1592,25.83,87,87,2.06,CU,1662874716
427,San Juan,-31.5375,-68.5364,13.3,23,52,2.64,AR,1662874716
428,Ust'-Kut,56.7938,105.7672,15.28,48,94,1.96,RU,1662874717
429,Paratinga,-12.6906,-43.1842,22.12,39,6,1.94,BR,1662874717
430,Hobyo,5.3505,48.5268,27.54,69,40,10.67,SO,1662874718
431,Makkah al Mukarramah,21.4267,39.8261,33.83,39,35,2.9,SA,1662874718
432,Springfield,37.2153,-93.2982,19.92,91,75,5.14,US,1662874719
433,Parrita,9.5201,-84.3225,24.24,91,100,0.88,CR,1662874719
434,Zatoka,46.0725,30.4654,20.55,86,97,6.97,UA,1662874720
435,Turaif,31.6725,38.6637,27.14,44,0,4.12,SA,1662874720
436,Grindavik,63.8424,-22.4338,8.97,87,0,10.8,IS,1662874720
437,Evensk,61.95,159.2333,10.55,82,100,2.59,RU,1662874721
438,Roald,62.5833,6.1333,11.06,100,40,2.06,NO,1662874722
439,Tabuk,17.4189,121.4443,30.98,66,45,1.61,PH,1662874722
440,Dzhubga,44.3211,38.7039,21.71,54,24,2.04,RU,1662874722
441,Sainte-Suzanne,-20.9061,55.6089,24.12,64,100,7.72,RE,1662874723
442,Port-Cartier,50.0334,-66.8654,13.75,95,22,0.73,CA,1662874724
443,Seoul,37.5683,126.9778,25.78,53,0,2.57,KR,1662874121
444,Ayan,56.45,138.1667,13.62,60,78,2.52,RU,1662874725
445,Ţahţā,26.7693,31.5021,27.45,42,0,6.63,EG,1662874725
446,Te Anau,-45.4167,167.7167,9.56,77,59,0.97,NZ,1662874726
447,Isla Mujeres,21.2311,-86.731,27.03,84,98,5.1,MX,1662874726
448,Santa Rosa,14.3122,121.1114,31.68,65,97,6.02,PH,1662874559
449,Aswān,24.0934,32.907,32.3,25,43,6.48,EG,1662874726
450,Acapulco de Juárez,16.8634,-99.8901,23.9,94,100,4.63,MX,1662874727
451,Beni,0.5,29.4667,19.97,80,68,0.7,CD,1662874728
452,Ottersberg,53.1,9.15,14.14,96,11,2.11,DE,1662874728
453,Katsuura,35.1333,140.3,25.69,77,75,9.73,JP,1662874729
454,Sheffield,53.383,-1.4659,14.31,93,85,0.59,GB,1662874726
455,Salinas,36.6777,-121.6555,24.34,74,0,2.57,US,1662874730
456,Kerewan,13.4898,-16.0888,23.2,88,100,2.28,GM,1662874730
457,Powell River,49.8496,-124.5361,20.04,62,0,1.11,CA,1662874731
458,Nuuk,64.1835,-51.7216,11.34,58,75,13.38,GL,1662874731
459,Bako,5.7833,36.5667,20.68,63,100,0.98,ET,1662874732
460,Raudeberg,61.9875,5.1352,10.37,75,11,1.48,NO,1662874732
461,Ust-Kuyga,70.0167,135.6,7.52,67,96,2.54,RU,1662874732
462,Muravlenko,63.7898,74.523,7.23,65,31,1.83,RU,1662874733
463,Lompoc,34.6391,-120.4579,23.9,81,0,0.0,US,1662874733
464,Dalvik,65.9702,-18.5286,7.96,99,100,4.28,IS,1662874734
465,Aldan,58.6031,125.3894,9.09,59,96,2.63,RU,1662874735
466,Bourail,-21.5667,165.4833,24.18,80,48,2.39,NC,1662874736
467,Ville-Marie,47.3335,-79.433,17.37,84,48,1.19,CA,1662874737
468,Kungurtug,50.5994,97.5228,21.14,31,65,1.83,RU,1662874737
469,Touros,-5.1989,-35.4608,23.5,80,6,5.41,BR,1662874738
470,Balkhash,46.844,74.9804,17.34,42,0,11.0,KZ,1662874739
471,Bambous Virieux,-20.3428,57.7575,24.14,64,40,7.2,MU,1662874739
472,Srandakan,-7.9386,110.2506,26.66,81,92,6.05,ID,1662874175
473,Nicoya,10.1483,-85.452,24.12,95,100,0.1,CR,1662874741
474,Codrington,-38.2667,141.9667,10.23,87,100,5.79,AU,1662874741
475,Springbok,-29.6643,17.8865,11.34,59,96,1.68,ZA,1662874742
476,Krasnozerskoye,53.9828,79.2374,19.34,22,100,4.88,RU,1662874743
477,Lamu,-2.2717,40.902,26.12,71,17,5.33,KE,1662874743
478,Tacoronte,28.4769,-16.4102,20.19,91,20,7.2,ES,1662874744
479,Tsumeb,-19.2333,17.7167,21.44,16,0,2.99,NA,1662874744
480,Tonekābon,36.8163,50.8738,22.97,66,60,1.63,IR,1662874745
481,Valley Station,38.1112,-85.8702,23.36,91,100,2.57,US,1662874745
482,San Andrés,12.5847,-81.7006,29.01,74,75,3.09,CO,1662874745
483,Woodward,36.4337,-99.3904,13.87,96,100,4.63,US,1662874746
484,Rincon,32.296,-81.2354,26.59,96,0,2.06,US,1662874746
485,Pimenta Bueno,-11.6725,-61.1936,24.84,63,18,1.74,BR,1662874747
486,Murray Bridge,-35.1167,139.2667,14.51,61,94,4.26,AU,1662874500
487,Mbamba,9.9833,13.1,20.58,96,96,0.89,NG,1662874748
488,Hamilton,39.1834,-84.5333,21.97,90,20,3.6,US,1662874748
489,Sistranda,63.7256,8.834,8.98,79,6,2.39,NO,1662874751
490,Rzhev,56.2624,34.3282,10.0,53,100,4.24,RU,1662874745
491,Whitecourt,54.1502,-115.6855,12.57,64,0,0.73,CA,1662874752
492,Griffith,41.5284,-87.4237,22.16,92,0,0.0,US,1662874753
493,Aguadilla,18.4275,-67.1541,26.47,92,54,2.41,PR,1662874753
494,Zyryanka,65.75,150.85,7.38,82,100,0.9,RU,1662874754
495,Swellendam,-34.0226,20.4417,12.48,81,70,1.42,ZA,1662874755
496,Hidalgotitlán,17.7833,-94.6333,23.66,97,100,2.16,MX,1662874755
497,Lewiston,44.1003,-70.2148,19.38,95,0,1.54,US,1662874756
498,Mount Vernon,40.9126,-73.8371,23.12,79,75,3.6,US,1662874757
499,Lábrea,-7.2586,-64.7981,24.23,67,33,1.05,BR,1662874757
500,Christchurch,-43.5333,172.6333,12.17,91,100,3.09,NZ,1662874570
501,Kalabo,-14.97,22.6814,21.41,24,0,3.3,ZM,1662874758
502,Lodwar,3.1191,35.5973,28.44,48,55,5.16,KE,1662874759
503,Kuybysheve,47.358,36.6491,16.1,43,95,9.05,UA,1662874760
504,Labuan,5.2767,115.2417,27.2,83,40,2.68,MY,1662874761
505,Saravan,39.7196,45.6483,18.17,45,0,2.06,AM,1662874761
506,San Patricio,28.017,-97.5169,29.35,67,26,3.05,US,1662874762
507,Banjar,-8.19,114.9675,28.13,81,75,0.29,ID,1662874763
508,Bilma,18.6853,12.9164,30.69,14,28,1.78,NE,1662874763
509,Poltavka,54.3663,71.7632,15.12,39,93,9.56,RU,1662874764
510,Lagoa,39.05,-27.9833,21.9,83,100,14.06,PT,1662874765
511,Kardymovo,54.8902,32.4311,7.16,86,100,6.11,RU,1662874766
512,Pinawa,50.1489,-95.8811,8.04,69,10,1.71,CA,1662874766
513,Östersund,63.1792,14.6357,6.25,100,20,3.58,SE,1662874767
514,Ambulu,-8.345,113.6058,27.13,80,100,3.7,ID,1662874768
515,Umluj,25.0213,37.2685,32.27,54,0,5.02,SA,1662874768
516,Levice,48.2156,18.6071,16.94,80,36,4.95,SK,1662874769
517,Marcala,14.15,-88.0333,17.89,96,100,0.42,HN,1662874770
518,Salme,28.0369,85.0942,24.16,73,76,1.79,NP,1662874770
519,Neiafu,-18.65,-173.9833,26.38,78,75,4.12,TO,1662874771
520,Slavuta,50.3016,26.8651,11.87,94,99,3.3,UA,1662874771
521,Rosarito,32.3333,-117.0333,24.71,84,96,1.85,MX,1662874772
522,Zabid,14.1951,43.3152,34.08,52,62,2.28,YE,1662874772
523,Gumdag,39.2061,54.5906,25.13,20,49,8.38,TM,1662874773
524,Marrakesh,31.6315,-8.0083,25.04,65,40,1.54,MA,1662874773
525,Smithers,54.7804,-127.1743,10.18,87,20,1.03,CA,1662874774
526,Sălătrucu,45.3333,24.5167,15.13,74,0,2.61,RO,1662874775
527,Nortelândia,-14.4547,-56.8028,23.3,44,6,0.29,BR,1662874775
528,Larsnes,62.2028,5.5773,11.36,93,33,1.06,NO,1662874776
529,Athabasca,54.7169,-113.2854,7.23,56,0,1.32,CA,1662874777
530,Tumsar,21.3833,79.7333,28.77,79,100,3.71,IN,1662874777
531,Cap Malheureux,-19.9842,57.6142,24.15,59,3,4.47,MU,1662874778
532,Yumen,40.2833,97.2,31.36,6,0,8.46,CN,1662874779
533,Maragogi,-9.0122,-35.2225,22.42,83,33,3.65,BR,1662874779
534,Caravelas,-17.7125,-39.2481,19.88,83,24,3.41,BR,1662874780
535,Mananjary,-21.2167,48.3333,22.37,71,10,1.7,MG,1662874780
536,Amahai,-3.3333,128.9167,27.12,79,99,2.06,ID,1662874781
537,São Filipe,14.8961,-24.4956,25.91,82,16,0.51,CV,1662874782
538,Port Augusta,-32.5,137.7667,17.7,49,1,5.69,AU,1662874782
539,La Ronge,55.1001,-105.2842,13.14,58,0,2.57,CA,1662874783
540,Aberdeen,57.1437,-2.0981,9.16,93,74,0.51,GB,1662874784
